business_name,country,metro_seed,niche,public_email,website,phone_from_osm,address_from_osm,why_this_is_a_fit,suggested_offer_angle,source,osm_type,osm_id,outreach_status,last_contacted,gmail_message_id,gmail_thread_id,outreach_notes
Your Guy Drainage,Canada,Vancouver,Plumbing contractor,yourguyplumbing@gmail.com,https://yourguydrainage.ca/,+1 604-200-0162,"1963, Cape Horn Avenue, Coquitlam, BC, V3K 1J2","Missed calls, quote intake, dispatch status, job photos, invoice follow-up, and maintenance reminders are practical AI/workflow automation entry points.",Missed-call/quote intake and dispatch workflow with follow-up reminders and job-photo/admin capture.,OpenStreetMap / Overpass API public email business tags,node,9702656456,sent,2026-06-26,19f053a807dec2fa,19f05339161d9900,draft_review_passed; sent_via_gmail; included_website_and_cal_link
"J.R. Swanson Plumbing, Heating & Cooling",US,Buffalo,Plumbing contractor,jswanson@jrswanson.com,https://www.jrswanson.com/,+1-716-283-3802,"413, 103rd Street, Niagara Falls, NY, 14304","Missed calls, quote intake, dispatch status, job photos, invoice follow-up, and maintenance reminders are practical AI/workflow automation entry points.",Missed-call/quote intake and dispatch workflow with follow-up reminders and job-photo/admin capture.,OpenStreetMap / Overpass API public email business tags,node,12525805354,sent,2026-06-25,19f00ab707728cc3,19f00a9282198302,factual_review_passed; sent_via_gmail; included_website_and_cal_link
Buffalo Temp-Pros,US,Buffalo,HVAC contractor,behan911@gmail.com,,+1-716-807-1989,"7303, Townline Road, North Tonawanda, NY, 14120","Seasonal demand, service scheduling, quote follow-up, maintenance reminders, warranty/admin forms, and technician handoffs create measurable automation opportunities.","Seasonal lead intake, maintenance reminder, quote follow-up, and technician handoff automation.",OpenStreetMap / Overpass API public email business tags,node,13430507378,sent,2026-06-26,19f053a9633d18e6,19f0533c1a139883,listing_only_factual_claim; draft_review_passed; sent_via_gmail; included_website_and_cal_link
Armor Heating,US,Buffalo,HVAC contractor,info@armorheating.com,https://www.armorheating.com/,+1-716-824-4209,"3697, Abbott Road, Orchard Park, NY, 14127","Seasonal demand, service scheduling, quote follow-up, maintenance reminders, warranty/admin forms, and technician handoffs create measurable automation opportunities.","Seasonal lead intake, maintenance reminder, quote follow-up, and technician handoff automation.",OpenStreetMap / Overpass API public email business tags,way,1245924674,sent,2026-06-26,19f053ab26219674,19f0533e29636341,draft_review_passed; sent_via_gmail; included_website_and_cal_link
Buffalo Roofing,US,Buffalo,Roofing contractor,gm@buffaloroofing.com,https://www.buffaloroofing.com/,+1-716-444-7663,"5565, Transit Road, Williamsville, NY, 14221","Lead intake, inspection photos, estimate follow-up, insurance paperwork, crew scheduling, and bid/package review are manual and deadline-sensitive.","Inspection-photo, estimate follow-up, insurance-document, and crew scheduling automation; optional bid/package review.",OpenStreetMap / Overpass API public email business tags,node,6731795003,sent,2026-06-25,19f00ab7d181473b,19f00a93ddcd155a,factual_review_passed; sent_via_gmail; included_website_and_cal_link
Felgemacher Roofing & Siding,US,Buffalo,Roofing contractor,info@roofingfrs.com,https://www.roofingfrs.com,+1-716-422-4415,"300, International Drive, Williamsville, NY, 14221","Lead intake, inspection photos, estimate follow-up, insurance paperwork, crew scheduling, and bid/package review are manual and deadline-sensitive.","Inspection-photo, estimate follow-up, insurance-document, and crew scheduling automation; optional bid/package review.",OpenStreetMap / Overpass API public email business tags,node,12989735699,sent,2026-06-25,19f00ab89d8f0b40,19f00a95454a8edf,factual_review_passed; sent_via_gmail; included_website_and_cal_link
Big Buffalo House Painting,US,Buffalo,Painting contractor,bigbuffalofrank@yahoo.com,https://bigbuffalopainting.com/,+1-716-219-8220,"196, Seneca Street, Buffalo, NY, 14204","Estimate follow-up, job scheduling, client reminders, color/spec notes, and invoice follow-up are straightforward small-business automations.","Estimate follow-up, scheduling, client reminder, and invoice follow-up workflow.",OpenStreetMap / Overpass API public email business tags,node,6031245112,bounced,2026-06-26,19f053ac783dbc0e,19f05340ad9b8ccc,bounced; mailbox_not_found; draft_review_passed; sent_via_gmail; included_website_and_cal_link
Queen City Painting & Wash,US,Buffalo,Painting contractor,info@paintqueencity.com,https://www.paintqueencity.com/,+1-716-338-4628,"4680, Boncrest Dr E, Buffalo, NY, 14221","Estimate follow-up, job scheduling, client reminders, color/spec notes, and invoice follow-up are straightforward small-business automations.","Estimate follow-up, scheduling, client reminder, and invoice follow-up workflow.",OpenStreetMap / Overpass API public email business tags,node,13472856456,sent,2026-06-26,19f053ae9f627235,19f05342bc7918b4,draft_review_passed; sent_via_gmail; included_website_and_cal_link
"Wichman Landscape Construction, LLC",US,Pittsburgh,Landscaping contractor,info@wichmanlandscapes.com,https://wichmanlandscapes.com/,+1-412-760-8524,"107, Buehner Drive, Pittsburgh, PA, 15237","Recurring maintenance schedules, quote follow-up, route/crew coordination, seasonal reminders, and customer messages are likely under-systematized.","Recurring service schedule, quote follow-up, crew route/status, and seasonal reminder workflow.",OpenStreetMap / Overpass API public email business tags,node,12617690796,sent,2026-06-26,19f053b00ca59247,19f0534528718b6b,draft_review_passed; sent_via_gmail; included_website_and_cal_link
AllPhase Roofing & Restoration,US,Cleveland,Roofing contractor,service@allphaserestore.com,https://allphaserestore.com/,+1-216-600-0184,"5285, Commerce Parkway West, Cleveland, OH, 44130","Lead intake, inspection photos, estimate follow-up, insurance paperwork, crew scheduling, and bid/package review are manual and deadline-sensitive.","Inspection-photo, estimate follow-up, insurance-document, and crew scheduling automation; optional bid/package review.",OpenStreetMap / Overpass API public email business tags,node,12090189279,sent,2026-06-23,19ef5b21ea9db396,19ef5a32f0384d9c,factual_review_passed; sent_via_gmail; included_website_and_cal_link
Ramirez Electric,US,Detroit,Electrical contractor,ramirezelectric@att.net,,+1-734-282-5823,"1318, Ford Avenue, Wyandotte, MI, 48192","Estimating, bid packages, RFIs/addenda, service-call intake, job photos, quote follow-up, and dispatch handoffs are repetitive but high-stakes.","Bid/spec review and service-call intake workflow: RFIs, exclusions, addenda, quote follow-up, and job-status tracking.",OpenStreetMap / Overpass API public email business tags,node,6379708110,bounced,2026-06-26,19f053b21d9e71ee,19f053477c2d23c7,bounced; mailbox_not_found; listing_only_factual_claim; draft_review_passed; sent_via_gmail; included_website_and_cal_link
The Dearborn Plumbers,US,Detroit,Plumbing contractor,info@plumberdearbornmi.info,http://www.plumberdearbornmi.info,+1 313 334-3509,"4917, Schaefer Road, Dearborn Michigan, 48126","Missed calls, quote intake, dispatch status, job photos, invoice follow-up, and maintenance reminders are practical AI/workflow automation entry points.",Missed-call/quote intake and dispatch workflow with follow-up reminders and job-photo/admin capture.,OpenStreetMap / Overpass API public email business tags,node,9544158953,bounced,2026-06-26,19f053b3b6e7e788,19f05349be49bd8d,bounced; domain_not_found; draft_review_passed; sent_via_gmail; included_website_and_cal_link
"Winslow Heating & Cooling, LLC",US,Detroit,HVAC contractor,office@callwinslow.com,https://www.winslowheatingandcooling.com/,+1-313-388-3722,"3912, Fort Street, Lincoln Park, MI, 48146","Seasonal demand, service scheduling, quote follow-up, maintenance reminders, warranty/admin forms, and technician handoffs create measurable automation opportunities.","Seasonal lead intake, maintenance reminder, quote follow-up, and technician handoff automation.",OpenStreetMap / Overpass API public email business tags,node,10805608241,sent,2026-06-23,19ef5b21029ecca3,19ef5a3134c7fa37,factual_review_passed; sent_via_gmail; included_website_and_cal_link
Tresnak Construction,US,Detroit,Roofing contractor,info@tresnakroofing.com,https://www.tresnakconstruction.com/,+1 248-435-4848,"1620, Northwood Boulevard, Royal Oak, MI, 48073","Lead intake, inspection photos, estimate follow-up, insurance paperwork, crew scheduling, and bid/package review are manual and deadline-sensitive.","Inspection-photo, estimate follow-up, insurance-document, and crew scheduling automation; optional bid/package review.",OpenStreetMap / Overpass API public email business tags,node,11307383592,sent,2026-06-25,19f00ab982a27ad3,19f00a967d957340,factual_review_passed; sent_via_gmail; included_website_and_cal_link
Roof One,US,Detroit,Roofing contractor,info@roofone.com,https://www.roofonemichigan.com/service-areas/ferndale/,+1-248-291-3912,"1315, Academy Street, Ferndale, MI, 48220","Lead intake, inspection photos, estimate follow-up, insurance paperwork, crew scheduling, and bid/package review are manual and deadline-sensitive.","Inspection-photo, estimate follow-up, insurance-document, and crew scheduling automation; optional bid/package review.",OpenStreetMap / Overpass API public email business tags,node,13794947741,sent,2026-06-26,19f053b6258ff44a,19f0534be98a87d7,draft_review_passed; sent_via_gmail; included_website_and_cal_link
Kevin's All Season,US,Detroit,Landscaping contractor,kevin4allseason@att.net,https://kevinsallseasons.com/,+1-313-294-4545,"2795, Fort Street South, Detroit, MI, 48217","Recurring maintenance schedules, quote follow-up, route/crew coordination, seasonal reminders, and customer messages are likely under-systematized.","Recurring service schedule, quote follow-up, crew route/status, and seasonal reminder workflow.",OpenStreetMap / Overpass API public email business tags,way,445125586,sent,2026-06-26,19f0546572ffd74b,19f0546572ffd74b,replacement_sent_via_gmail; previous_email=kevinw@kevinsallseason.biz; previous_bounce=domain_not_found; draft_review_passed; included_website_and_cal_link
MaxForce Roofing and Siding LLC,US,Columbus,Roofing contractor,office@maxforceroofing.com,https://www.maxforceroofing.com/,+1-614-467-8910,"2762, Sawbury Boulevard, Columbus, OH, 43235","Lead intake, inspection photos, estimate follow-up, insurance paperwork, crew scheduling, and bid/package review are manual and deadline-sensitive.","Inspection-photo, estimate follow-up, insurance-document, and crew scheduling automation; optional bid/package review.",OpenStreetMap / Overpass API public email business tags,node,11827757097,sent,2026-06-23,19ef5b23e64a5ea3,19ef5a39c521c56f,factual_review_passed; sent_via_gmail; included_website_and_cal_link
Hilliard Roofing and Siding,US,Columbus,Roofing contractor,info@hilliardroof.com,https://hilliardroof.com/,+1-614-448-5621,"3544, Main Street, Hilliard, OH, 43026","Lead intake, inspection photos, estimate follow-up, insurance paperwork, crew scheduling, and bid/package review are manual and deadline-sensitive.","Inspection-photo, estimate follow-up, insurance-document, and crew scheduling automation; optional bid/package review.",OpenStreetMap / Overpass API public email business tags,node,13049559092,sent,2026-06-26,19f053b9a263d7c6,19f05351eb06b444,draft_review_passed; sent_via_gmail; included_website_and_cal_link
Bone Dry Roofing,US,Columbus,Roofing contractor,info@bonedry.com,https://bonedry.com/columbus/?bdr_campaign=BDR-DIG-DIR-ROOF-OH-PHO-DIRECTORY-202510-COLUMBUSEXTERNALDIRECTORY,+1-614-721-8473,"6500, Shier Rings Rd, Dublin, OH, 43016","Lead intake, inspection photos, estimate follow-up, insurance paperwork, crew scheduling, and bid/package review are manual and deadline-sensitive.","Inspection-photo, estimate follow-up, insurance-document, and crew scheduling automation; optional bid/package review.",OpenStreetMap / Overpass API public email business tags,node,13645362037,drafted,2026-06-27,19f0972360022d6b,19f0972360022d6b,drafted_via_gmail; gmail_draft_id=r-582376379904596435; email_verification=domain_mx_ok; included_website_and_cal_link
American Axeworx,US,Columbus,Carpentry / finish contractor,sales@americanaxeworx.com,https://americanaxeworx.com/,+1-614-515-3268,"81, Mill Street, Gahanna, OH, 43230","Quote requests, scope clarification, vendor/material tracking, job-photo documentation, and client follow-up are often spreadsheet/email-driven.","Quote request triage, scope clarification, material/vendor follow-up, and client update workflow.",OpenStreetMap / Overpass API public email business tags,node,12946014022,drafted,2026-06-27,19f09723869fe156,19f09723869fe156,drafted_via_gmail; gmail_draft_id=r7292109724345703755; email_verification=domain_mx_ok; included_website_and_cal_link
Prim Painting,US,Columbus,Painting contractor,estimates@primpainting.com,https://primpainting.com,+1-614-686-7746,"875, Gray Street, Columbus, OH, 43201","Estimate follow-up, job scheduling, client reminders, color/spec notes, and invoice follow-up are straightforward small-business automations.","Estimate follow-up, scheduling, client reminder, and invoice follow-up workflow.",OpenStreetMap / Overpass API public email business tags,node,12615311114,drafted,2026-06-27,19f09723d93e9f9a,19f09723d93e9f9a,drafted_via_gmail; gmail_draft_id=r7785464477435313269; email_verification=official_site_replacement; previous_email=prim@primpainting.com; included_website_and_cal_link
Joseph Tree Service,US,Columbus,Landscaping contractor,estimates@josephtreeservice.com,https://josephtreeservice.com/,+1-614-313-8138,"7210, Harlem Road, Westerville, OH, 43082","Recurring maintenance schedules, quote follow-up, route/crew coordination, seasonal reminders, and customer messages are likely under-systematized.","Recurring service schedule, quote follow-up, crew route/status, and seasonal reminder workflow.",OpenStreetMap / Overpass API public email business tags,node,11257731655,drafted,2026-06-27,19f09723ff3d4b07,19f09723ff3d4b07,drafted_via_gmail; gmail_draft_id=r-624678824672358841; email_verification=domain_mx_ok; included_website_and_cal_link
Ciminello's Landscape Design,US,Columbus,Landscaping contractor,ciminellos@ciminellos.com,,+1-614-885-3779,"567, Lazelle Road, Westerville, OH, 43081-9595","Recurring maintenance schedules, quote follow-up, route/crew coordination, seasonal reminders, and customer messages are likely under-systematized.","Recurring service schedule, quote follow-up, crew route/status, and seasonal reminder workflow.",OpenStreetMap / Overpass API public email business tags,way,557559851,drafted,2026-06-27,19f097242d6b725d,19f097242d6b725d,drafted_via_gmail; gmail_draft_id=r515421364397903359; email_verification=domain_mx_ok; included_website_and_cal_link
Altstadt Hoffman Plumbing Services,US,Indianapolis,Plumbing contractor,service@altstadtplumbing.com,https://www.altstadtplumbing.com/,+1-317-463-1169; +1-877-425-9389,"5781, Thunderbird Road, Indianapolis, IN, 46236","Missed calls, quote intake, dispatch status, job photos, invoice follow-up, and maintenance reminders are practical AI/workflow automation entry points.",Missed-call/quote intake and dispatch workflow with follow-up reminders and job-photo/admin capture.,OpenStreetMap / Overpass API public email business tags,node,13310847567,sent,2026-06-25,19f00aba4f152d4d,19f00a97d4b66b6e,factual_review_passed; sent_via_gmail; included_website_and_cal_link
M&J Roofing And Exteriors,US,Indianapolis,Roofing contractor,roofingindianahomes@gmail.com,https://roofingindianahomes.com/,+1-317-886-1416,"6825, Madison Avenue, Indianapolis, IN, 46227","Lead intake, inspection photos, estimate follow-up, insurance paperwork, crew scheduling, and bid/package review are manual and deadline-sensitive.","Inspection-photo, estimate follow-up, insurance-document, and crew scheduling automation; optional bid/package review.",OpenStreetMap / Overpass API public email business tags,node,5727326745,not_contacted,,,,not_drafted; email_verification_mismatch; listed_website_redirected_to_different_roofing_business; manual_review_required
"Eco Plumbers, Electricians, and HVAC Technicians",US,Cincinnati,Plumbing contractor,service@geteco.com,https://geteco.com/cincinnati-oh/,+1-513-342-8502,"9114, Cincinnati Columbus Rd, West Chester, OH, 45069","Missed calls, quote intake, dispatch status, job photos, invoice follow-up, and maintenance reminders are practical AI/workflow automation entry points.",Missed-call/quote intake and dispatch workflow with follow-up reminders and job-photo/admin capture.,OpenStreetMap / Overpass API public email business tags,node,13361116496,drafted,2026-06-27,19f097244fb7fc88,19f097244fb7fc88,drafted_via_gmail; gmail_draft_id=r256452890966318161; email_verification=official_site_replacement; previous_email=GrowNearby@geteco.com; included_website_and_cal_link
All Claims Repairs Ohio,US,Cincinnati,HVAC contractor,info@allclaimsrepairs.com,https://www.allclaimsrepairs.com/,+1-513-874-3995,"4475, Muhlhauser Road, West Chester Township, OH, 45011","Seasonal demand, service scheduling, quote follow-up, maintenance reminders, warranty/admin forms, and technician handoffs create measurable automation opportunities.","Seasonal lead intake, maintenance reminder, quote follow-up, and technician handoff automation.",OpenStreetMap / Overpass API public email business tags,node,8814376002,drafted,2026-06-27,19f097248e2d7b41,19f097248e2d7b41,drafted_via_gmail; gmail_draft_id=r4161939771379487359; email_verification=domain_mx_ok; included_website_and_cal_link
Fasto Roofing,US,Cincinnati,Roofing contractor,fastollc@gmail.com,https://www.fastoroofing.com/,+1 513-601-7306,"1233, Castle Drive, Mason, OH, 45040","Lead intake, inspection photos, estimate follow-up, insurance paperwork, crew scheduling, and bid/package review are manual and deadline-sensitive.","Inspection-photo, estimate follow-up, insurance-document, and crew scheduling automation; optional bid/package review.",OpenStreetMap / Overpass API public email business tags,node,12031883057,drafted,2026-06-27,19f09724a503bbe3,19f09724a503bbe3,drafted_via_gmail; gmail_draft_id=r3069494027300353372; email_verification=official_site_match; included_website_and_cal_link
Professional Painting Services and Sons,US,Cincinnati,Painting contractor,jerry@ppsandsons.com,https://ppsandsons.com/,+1-513-348-5043,"709, Mount Moriah Drive, Cincinnati, OH, 45245","Estimate follow-up, job scheduling, client reminders, color/spec notes, and invoice follow-up are straightforward small-business automations.","Estimate follow-up, scheduling, client reminder, and invoice follow-up workflow.",OpenStreetMap / Overpass API public email business tags,node,13851113809,drafted,2026-06-27,19f09724fc40b6d1,19f09724fc40b6d1,drafted_via_gmail; gmail_draft_id=r59581290304676061; email_verification=official_site_match; included_website_and_cal_link
Plant Cincinnati,US,Cincinnati,Landscaping contractor,info@plantcincinnati.com,https://plantcincinnati.com/,+1 513-610-5177,"7915, Euclid Avenue, Madeira, OH, 45243","Recurring maintenance schedules, quote follow-up, route/crew coordination, seasonal reminders, and customer messages are likely under-systematized.","Recurring service schedule, quote follow-up, crew route/status, and seasonal reminder workflow.",OpenStreetMap / Overpass API public email business tags,node,13580053880,drafted,2026-06-27,19f0972507478067,19f0972507478067,drafted_via_gmail; gmail_draft_id=r-2062697444262735136; email_verification=official_site_match; included_website_and_cal_link
Tepe Landscape & Design Group,US,Cincinnati,Landscaping contractor,info@tepeservices.com,https://tepeservices.com,+1-513-941-4500,"7021, Cleves Warsaw Pike, Cincinnati, OH, 45233","Recurring maintenance schedules, quote follow-up, route/crew coordination, seasonal reminders, and customer messages are likely under-systematized.","Recurring service schedule, quote follow-up, crew route/status, and seasonal reminder workflow.",OpenStreetMap / Overpass API public email business tags,way,91356398,drafted,2026-06-27,19f09730c13f7732,19f09730c13f7732,drafted_via_gmail; gmail_draft_id=r2292228554132811255; email_verification=domain_mx_ok; included_website_and_cal_link
SJ Electric LLC,US,Kansas City,Electrical contractor,steve@sjelectricllc.com,https://www.sjelectricllc.com/,+1-913-837-3549,Kansas City,"Estimating, bid packages, RFIs/addenda, service-call intake, job photos, quote follow-up, and dispatch handoffs are repetitive but high-stakes.","Bid/spec review and service-call intake workflow: RFIs, exclusions, addenda, quote follow-up, and job-status tracking.",OpenStreetMap / Overpass API public email business tags,node,8693472518,drafted,2026-06-27,19f09730fd95ee5c,19f09730fd95ee5c,drafted_via_gmail; gmail_draft_id=r5203016425660251893; email_verification=domain_mx_ok; included_website_and_cal_link
Good Roofing Company,US,Kansas City,Roofing contractor,goodroofingcompany@gmail.com,https://www.goodroofingcompany.com,+1-816-207-3993,"17, Northeast Skyline Drive, Lee’s Summit, MO, 64086","Lead intake, inspection photos, estimate follow-up, insurance paperwork, crew scheduling, and bid/package review are manual and deadline-sensitive.","Inspection-photo, estimate follow-up, insurance-document, and crew scheduling automation; optional bid/package review.",OpenStreetMap / Overpass API public email business tags,node,12006310479,drafted,2026-06-27,19f097312c930e6c,19f097312c930e6c,drafted_via_gmail; gmail_draft_id=r-820044292544849142; email_verification=official_site_match; included_website_and_cal_link
Shamrock Roofing and Construction,US,Kansas City,Roofing contractor,contact@shamrockroofer.com,https://shamrockroofer.com/,+1-913-850-6556,"7899, East Frontage Road, Overland Park, KS, 66204","Lead intake, inspection photos, estimate follow-up, insurance paperwork, crew scheduling, and bid/package review are manual and deadline-sensitive.","Inspection-photo, estimate follow-up, insurance-document, and crew scheduling automation; optional bid/package review.",OpenStreetMap / Overpass API public email business tags,node,12172809004,drafted,2026-06-27,19f09731486b3a42,19f09731486b3a42,drafted_via_gmail; gmail_draft_id=r6074732739166418613; email_verification=domain_mx_ok; included_website_and_cal_link
Ferguson Roofing,US,St Louis,Roofing contractor,connect@fergusonroofing.com,https://fergusonroofing.com/st-louis/,+1-314-521-6917;+1-618-212-1912,"5814, Garfield Ave., St. Louis, MO, 63134","Lead intake, inspection photos, estimate follow-up, insurance paperwork, crew scheduling, and bid/package review are manual and deadline-sensitive.","Inspection-photo, estimate follow-up, insurance-document, and crew scheduling automation; optional bid/package review.",OpenStreetMap / Overpass API public email business tags,way,1016306202,drafted,2026-06-27,19f09731641eec17,19f09731641eec17,drafted_via_gmail; gmail_draft_id=r-1590948191871706144; email_verification=domain_mx_ok; included_website_and_cal_link
Premium Cabinets,US,St Louis,Carpentry / finish contractor,johnm@premiumcabinets.com,https://premiumcabinets.com/st-louis/,+1 314-499-8800,"1645, Headland Drive, Fenton, 63026","Quote requests, scope clarification, vendor/material tracking, job-photo documentation, and client follow-up are often spreadsheet/email-driven.","Quote request triage, scope clarification, material/vendor follow-up, and client update workflow.",OpenStreetMap / Overpass API public email business tags,node,5159286983,drafted,2026-06-27,19f09731bd8ce36e,19f09731bd8ce36e,drafted_via_gmail; gmail_draft_id=r-6550881329134155746; email_verification=domain_mx_ok; included_website_and_cal_link
King's Painting & Home Repair,US,St Louis,Painting contractor,kingspainting.homerepair@gmail.com,https://flow.page/kingspainting.homerepair,+1 618 798 0935,"1306, 27th Street, Granite City, IL","Estimate follow-up, job scheduling, client reminders, color/spec notes, and invoice follow-up are straightforward small-business automations.","Estimate follow-up, scheduling, client reminder, and invoice follow-up workflow.",OpenStreetMap / Overpass API public email business tags,node,12631633633,drafted,2026-06-27,19f09731d3b41da0,19f09731d3b41da0,drafted_via_gmail; gmail_draft_id=r2058280423643804042; email_verification=official_site_match; included_website_and_cal_link
Excel Landscaping,US,St Louis,Landscaping contractor,joe@excellandscapingstl.com,https://excellandscapingstl.com/,+1-314-799-1018,"1020, Hudson Ave, Rock Hill, MO, 63119","Recurring maintenance schedules, quote follow-up, route/crew coordination, seasonal reminders, and customer messages are likely under-systematized.","Recurring service schedule, quote follow-up, crew route/status, and seasonal reminder workflow.",OpenStreetMap / Overpass API public email business tags,node,13921244966,drafted,2026-06-27,19f09732077e03a6,19f09732077e03a6,drafted_via_gmail; gmail_draft_id=r-6861380217309167036; email_verification=official_site_match; included_website_and_cal_link
Landscape St. Louis,US,St Louis,Landscaping contractor,dw@landscapestlouis.com,https://landscapestlouis.com/,+1-314-876-8064,"2601, McCausland Avenue, Saint Louis, MO, 63143","Recurring maintenance schedules, quote follow-up, route/crew coordination, seasonal reminders, and customer messages are likely under-systematized.","Recurring service schedule, quote follow-up, crew route/status, and seasonal reminder workflow.",OpenStreetMap / Overpass API public email business tags,way,1459874206,drafted,2026-06-27,19f0973231e6898d,19f0973231e6898d,drafted_via_gmail; gmail_draft_id=r5442857089814740360; email_verification=official_site_replacement; previous_email=info@landscapestlouis.com; included_website_and_cal_link
Gene Wagner Plumbing,US,Milwaukee,Plumbing contractor,scott@genewagnerplumbing.com,https://www.genewagnerplumbing.com/,+1-414 541-9217,"2017, South 60th Street, West Allis, WI, 53219","Missed calls, quote intake, dispatch status, job photos, invoice follow-up, and maintenance reminders are practical AI/workflow automation entry points.",Missed-call/quote intake and dispatch workflow with follow-up reminders and job-photo/admin capture.,OpenStreetMap / Overpass API public email business tags,node,11973957227,drafted,2026-06-27,19f0973277dc9e13,19f0973277dc9e13,drafted_via_gmail; gmail_draft_id=r-8707484770068283762; email_verification=domain_mx_ok; included_website_and_cal_link
E & R Heating and Cooling,US,Milwaukee,HVAC contractor,eandrheatingandcoolingwi@gmail.com,https://www.eandrheatingandcooling.com/,+1-414-202-5001,"8561, South Ventana Drive, Oak Creek, WI, 53154","Seasonal demand, service scheduling, quote follow-up, maintenance reminders, warranty/admin forms, and technician handoffs create measurable automation opportunities.","Seasonal lead intake, maintenance reminder, quote follow-up, and technician handoff automation.",OpenStreetMap / Overpass API public email business tags,node,10846007525,drafted,2026-06-27,19f0973d35b3b376,19f0973d35b3b376,drafted_via_gmail; gmail_draft_id=r3971089881721006565; email_verification=official_site_replacement; previous_email=rkubenik@yahoo.com; included_website_and_cal_link
Atlas Heating & Sheet Metal,US,Milwaukee,HVAC contractor,atlasheatingmike@gmail.com,https://atlas-works.com/,+1 414-688-2618,"1414, West Fond du Lac Avenue, Milwaukee, WI, 53205","Seasonal demand, service scheduling, quote follow-up, maintenance reminders, warranty/admin forms, and technician handoffs create measurable automation opportunities.","Seasonal lead intake, maintenance reminder, quote follow-up, and technician handoff automation.",OpenStreetMap / Overpass API public email business tags,node,12232109529,drafted,2026-06-27,19f0973d60f1729e,19f0973d60f1729e,drafted_via_gmail; gmail_draft_id=r-3600910587481966201; email_verification=domain_mx_ok; included_website_and_cal_link
"Third Coast HVAC, AC & Furnace Repair",US,Milwaukee,HVAC contractor,info@thirdcoast-hvac.com,https://thirdcoast-hvac.com,+1-262-264-8626,"120, Bishops Way, Brookfield, WI, 53005","Seasonal demand, service scheduling, quote follow-up, maintenance reminders, warranty/admin forms, and technician handoffs create measurable automation opportunities.","Seasonal lead intake, maintenance reminder, quote follow-up, and technician handoff automation.",OpenStreetMap / Overpass API public email business tags,node,12995756636,drafted,2026-06-27,19f0973d84831d7f,19f0973d84831d7f,drafted_via_gmail; gmail_draft_id=r-995916653072693696; email_verification=official_site_match; included_website_and_cal_link
Affordable Heating & Air Conditioning,US,Milwaukee,HVAC contractor,info@affordablehtg.com,https://www.affordablehtg.com/,+1-414-481-2727,"4630, South Kinnickinnic Avenue, Cudahy, WI, 53110","Seasonal demand, service scheduling, quote follow-up, maintenance reminders, warranty/admin forms, and technician handoffs create measurable automation opportunities.","Seasonal lead intake, maintenance reminder, quote follow-up, and technician handoff automation.",OpenStreetMap / Overpass API public email business tags,way,663979862,sent,2026-06-23,19ef5b2348874a84,19ef5a378add4e20,factual_review_passed; sent_via_gmail; included_website_and_cal_link
J.M. Brennan Incorporated,US,Milwaukee,HVAC contractor,mattb@jmbrennan.com,https://jmbrennan.com/,+1 414 342 3829,"2101, West Saint Paul Avenue, Milwaukee, WI, 53233","Seasonal demand, service scheduling, quote follow-up, maintenance reminders, warranty/admin forms, and technician handoffs create measurable automation opportunities.","Seasonal lead intake, maintenance reminder, quote follow-up, and technician handoff automation.",OpenStreetMap / Overpass API public email business tags,way,725229989,drafted,2026-06-27,19f0973dd3815f96,19f0973dd3815f96,drafted_via_gmail; gmail_draft_id=r-4026735958291593168; email_verification=official_site_match; included_website_and_cal_link
Community Roofing & Restoration,US,Milwaukee,Roofing contractor,amber@communityroofing.com,https://www.communityroofingandrestoration.com/,+1 414-332-1139,"1776, North Water Street, Milwaukee, WI, 53202","Lead intake, inspection photos, estimate follow-up, insurance paperwork, crew scheduling, and bid/package review are manual and deadline-sensitive.","Inspection-photo, estimate follow-up, insurance-document, and crew scheduling automation; optional bid/package review.",OpenStreetMap / Overpass API public email business tags,node,9840810567,drafted,2026-06-27,19f0973e0e879076,19f0973e0e879076,drafted_via_gmail; gmail_draft_id=r6384005914057140508; email_verification=official_site_match; included_website_and_cal_link
WeatherPro Exteriors,US,Milwaukee,Roofing contractor,info@weatherproexteriors.com,https://www.weatherproexteriors.com,+1-414-543-0929; +1-888-398-7767,"12200, West Adler Lane, West Allis, WI, 53214","Lead intake, inspection photos, estimate follow-up, insurance paperwork, crew scheduling, and bid/package review are manual and deadline-sensitive.","Inspection-photo, estimate follow-up, insurance-document, and crew scheduling automation; optional bid/package review.",OpenStreetMap / Overpass API public email business tags,node,13313429462,sent,2026-06-23,19ef5b22972f9cdb,19ef5a354144bc08,factual_review_passed; sent_via_gmail; included_website_and_cal_link
Horizon Exteriors,US,Milwaukee,Roofing contractor,horizonexteriorsmke@gmail.com,https://horizonexteriorswi.com/,+1-414-369-0555,"500, West Silver Spring Drive, Glendale, WI, 53217","Lead intake, inspection photos, estimate follow-up, insurance paperwork, crew scheduling, and bid/package review are manual and deadline-sensitive.","Inspection-photo, estimate follow-up, insurance-document, and crew scheduling automation; optional bid/package review.",OpenStreetMap / Overpass API public email business tags,node,13377702122,drafted,2026-06-27,19f0973e3a98730e,19f0973e3a98730e,drafted_via_gmail; gmail_draft_id=r-7489265395894058813; email_verification=domain_mx_ok; included_website_and_cal_link
